han,hex,dec
厚,539A,21402
厝,539D,21405
原,539F,21407
厢,53A2,21410
厥,53A5,21413
厦,53A6,21414
厨,53A8,21416
厩,53A9,21417
厮,53AE,21422
去,53BB,21435
县,53BF,21439
叁,53C1,21441
参,53C2,21442
又,53C8,21448
叉,53C9,21449
及,53CA,21450
友,53CB,21451
双,53CC,21452
反,53CD,21453
发,53D1,21457
叔,53D4,21460
取,53D6,21462
受,53D7,21463
变,53D8,21464
叙,53D9,21465
叛,53DB,21467
叟,53DF,21471
叠,53E0,21472
口,53E3,21475
古,53E4,21476
句,53E5,21477
另,53E6,21478
叨,53E8,21480
叩,53E9,21481
只,53EA,21482
叫,53EB,21483
召,53EC,21484
叭,53ED,21485
叮,53EE,21486
可,53EF,21487
台,53F0,21488
叱,53F1,21489
史,53F2,21490
右,53F3,21491
叵,53F5,21493
叶,53F6,21494
号,53F7,21495
司,53F8,21496
叹,53F9,21497
叼,53FC,21500
叽,53FD,21501
吁,5401,21505
吃,5403,21507
各,5404,21508
吆,5406,21510
合,5408,21512
吉,5409,21513
吊,540A,21514
吋,540B,21515
同,540C,21516
名,540D,21517
后,540E,21518
吏,540F,21519
吐,5410,21520
向,5411,21521
吓,5413,21523
吕,5415,21525
吗,5417,21527
君,541B,21531
吝,541D,21533
吞,541E,21534
吟,541F,21535
吠,5420,21536
否,5426,21542
吧,5427,21543
吨,5428,21544
吩,5429,21545
含,542B,21547
听,542C,21548
吭,542D,21549
吮,542E,21550
启,542F,21551
吱,5431,21553
吴,5434,21556
吵,5435,21557
吸,5438,21560
吹,5439,21561
吻,543B,21563
吼,543C,21564
吾,543E,21566
呀,5440,21568
呃,5443,21571
呆,5446,21574
呈,5448,21576
告,544A,21578
呎,544E,21582
呐,5450,21584
呓,5453,21587
呕,5455,21589
员,5458,21592
呛,545B,21595
呜,545C,21596
呢,5462,21602
呦,5466,21606
周,5468,21608
呱,5471,21617
味,5473,21619
呵,5475,21621
呶,5476,21622
呸,5478,21624
呻,547B,21627
呼,547C,21628
命,547D,21629
咀,5480,21632
咄,5484,21636
咆,5486,21638
咋,548B,21643
和,548C,21644
咎,548E,21646
咏,548F,21647
咐,5490,21648
咒,5492,21650
咔,5494,21652
咕,5495,21653
咖,5496,21654
咙,5499,21657
咚,549A,21658
咛,549B,21659
咦,54A6,21670
咧,54A7,21671
咨,54A8,21672
咪,54AA,21674
咫,54AB,21675
咬,54AC,21676
咯,54AF,21679
咱,54B1,21681
咳,54B3,21683
咸,54B8,21688
咽,54BD,21693
哀,54C0,21696
品,54C1,21697
哂,54C2,21698
哄,54C4,21700
哆,54C6,21702
哇,54C7,21703
哈,54C8,21704
哉,54C9,21705
响,54CD,21709
哎,54CE,21710
哑,54D1,21713
哒,54D2,21714
哓,54D3,21715
哔,54D4,21716
哗,54D7,21719
哝,54DD,21725
哟,54DF,21727
哥,54E5,21733
哦,54E6,21734
哨,54E8,21736
哩,54E9,21737
哪,54EA,21738
哭,54ED,21741
哮,54EE,21742
哲,54F2,21746
哺,54FA,21754
哼,54FC,21756
哽,54FD,21757
唁,5501,21761
唆,5506,21766
唇,5507,21767
唉,5509,21769
唐,5510,21776
唔,5514,21780
唠,5520,21792
唤,5524,21796
唧,5527,21799
唬,552C,21804
售,552E,21806
唯,552F,21807
唰,5530,21808
唱,5531,21809
唳,5533,21811
唷,5537,21815
唾,553E,21822
啁,5541,21825
啃,5543,21827
啄,5544,21828
商,5546,21830
啊,554A,21834
啖,5556,21846
啜,555C,21852
啡,5561,21857
啤,5564,21860
啥,5565,21861
啦,5566,21862
啧,5567,21863
啪,556A,21866
啬,556C,21868
啮,556E,21870
啰,5570,21872
啸,5578,21880
啻,557B,21883
啼,557C,21884
啾,557E,21886
喀,5580,21888
喂,5582,21890
喃,5583,21891
善,5584,21892
喇,5587,21895
喉,5589,21897
喊,558A,21898
喋,558B,21899
喏,558F,21903
喔,5594,21908
喘,5598,21912
喙,5599,21913
喜,559C,21916
喝,559D,21917
喧,55A7,21927
喳,55B3,21939
喵,55B5,21941
喷,55B7,21943
喻,55BB,21947
喽,55BD,21949
嗄,55C4,21956
嗅,55C5,21957
嗉,55C9,21961
嗍,55CD,21965
嗓,55D3,21971
嗔,55D4,21972
嗜,55DC,21980
嗟,55DF,21983
嗡,55E1,21985
嗣,55E3,21987
嗤,55E4,21988
嗥,55E5,21989
嗦,55E6,21990
嗨,55E8,21992
嗯,55EF,21999
嗲,55F2,22002
嗳,55F3,22003
嗷,55F7,22007
嗽,55FD,22013
嗾,55FE,22014
嘀,5600,22016
嘁,5601,22017
嘈,5608,22024
嘉,5609,22025
嘎,560E,22030
嘏,560F,22031
嘘,5618,22040
嘚,561A,22042
嘛,561B,22043
嘞,561E,22046
嘟,561F,22047
嘱,5631,22065
嘲,5632,22066
嘴,5634,22068
嘶,5636,22070
嘹,5639,22073
嘻,563B,22075
嘿,563F,22079
噎,564E,22094
噗,5657,22103
噙,5659,22105
噜,565C,22108
噢,5662,22114
噤,5664,22116
器,5668,22120
噩,5669,22121
噪,566A,22122
噫,566B,22123
噬,566C,22124
噱,5671,22129
噶,5676,22134
噼,567C,22140
嚎,568E,22158
嚏,568F,22159
嚣,56A3,22179
嚷,56B7,22199
嚼,56BC,22204
囊,56CA,22218
囚,56DA,22234
四,56DB,22235
回,56DE,22238
因,56E0,22240
团,56E2,22242
囤,56E4,22244
囧,56E7,22247
囫,56EB,22251
园,56ED,22253
困,56F0,22256
囱,56F1,22257
围,56F4,22260
固,56FA,22266
国,56FD,22269
图,56FE,22270
圃,5703,22275
圆,5706,22278
圈,5708,22280
土,571F,22303
圣,5723,22307
在,5728,22312
圩,5729,22313
圬,572C,22316
圭,572D,22317
地,5730,22320
圳,5733,22323
场,573A,22330
圾,573E,22334
址,5740,22336
坂,5742,22338
均,5747,22343
坊,574A,22346
坍,574D,22349
坎,574E,22350
坏,574F,22351
坐,5750,22352
坑,5751,22353
块,5757,22359
坚,575A,22362
坛,575B,22363
坜,575C,22364
坝,575D,22365
坞,575E,22366
坟,575F,22367
坠,5760,22368
坡,5761,22369
坤,5764,22372
坦,5766,22374
坪,576A,22378
坯,576F,22383
坳,5773,22387
坷,5777,22391
垂,5782,22402
垃,5783,22403
垄,5784,22404
垆,5786,22406
型,578B,22411
垒,5792,22418
垛,579B,22427
垠,57A0,22432
垢,57A2,22434
垣,57A3,22435
垦,57A6,22438
垫,57AB,22443
垮,57AE,22446
垵,57B5,22453
埂,57C2,22466
埃,57C3,22467
埋,57CB,22475
城,57CE,22478
埔,57D4,22484
埘,57D8,22488
域,57DF,22495
埠,57E0,22496
培,57F9,22521
基,57FA,22522
埽,57FD,22525
堂,5802,22530
堃,5803,22531
堆,5806,22534
堑,5811,22545
堕,5815,22549
堡,5821,22561
堤,5824,22564
堪,582A,22570
堰,5830,22576
堵,5835,22581
塌,584C,22604
塑,5851,22609
塔,5854,22612
塘,5858,22616
塞,585E,22622
填,586B,22635
塾,587E,22654
墀,5880,22656
境,5883,22659
墅,5885,22661
墉,5889,22665
墒,5892,22674
墓,5893,22675
墙,5899,22681
增,589E,22686
墟,589F,22687
墨,58A8,22696
墩,58A9,22697
壁,58C1,22721
壅,58C5,22725
壑,58D1,22737
壕,58D5,22741
壤,58E4,22756
士,58EB,22763
壬,58EC,22764
壮,58EE,22766
声,58F0,22768
壳,58F3,22771
壶,58F6,22774
壹,58F9,22777
处,5904,22788
备,5907,22791
复,590D,22797
夏,590F,22799
夔,5914,22804
夕,5915,22805
外,5916,22806
夙,5919,22809
多,591A,22810
夜,591C,22812
够,591F,22815
夤,5924,22820
夥,5925,22821
大,5927,22823
天,5929,22825
太,592A,22826
夫,592B,22827
夭,592D,22829
央,592E,22830
夯,592F,22831
失,5931,22833
头,5934,22836
夷,5937,22839
夸,5938,22840
夹,5939,22841
夺,593A,22842
奂,5942,22850
奄,5944,22852
奇,5947,22855
奈,5948,22856
奉,5949,22857
奋,594B,22859
奎,594E,22862
奏,594F,22863
契,5951,22865
奔,5954,22868
奕,5955,22869
奖,5956,22870
套,5957,22871
奚,595A,22874
奠,5960,22880
奢,5962,22882
奥,5965,22885
奭,596D,22893
女,5973,22899
奴,5974,22900
奶,5976,22902
奸,5978,22904
她,5979,22905
好,597D,22909
